source_name,source_url,forecast_date,outlook_date,price_usd,price_range_min,price_range_max,context,scraped_date
www.mining.com,https://www.mining.com/web/vales-q3-iron-ore-output-rises-3-8-from-a-year-earlier/,,2025,94.4,,,"rding to its sales and output report. The firm’s sales of iron ore, including pellets, rose 5.1% year-on-year to 86 million tons in the quarter, as realized prices of iron ore fines increased 4.2% to $94.4 per ton. Citi analysts led by Alexander Hacking said Vale’s results were “solid”, and should lead to a “small positive reaction” in its shares. “There were no changes to guidance and these resul",6/11/2025 18:01
www.mining.com,https://www.mining.com/web/gold-to-overtake-lng-met-coal-as-australias-second-most-valuable-export/,,2025,87,,,"$113 billion in 2025-26. While volumes are projected to increase, prices are in decline as new mines come on line amid a glut of steel in the largest producer, China. Iron ore is seen averaging about $87 a ton, before easing slightly in the next financial year. That outlook comes as major miner Rio Tinto Group prepares to ship its first cargo of iron ore from the SimFer mine at Simandou in Guinea,",6/11/2025 18:01
www.mining.com,https://www.mining.com/web/iron-ore-price-rallies-on-simandou-supply-concerns-restocking-demand/,,,107.15,,,"higher at 805 yuan ($112.98) a metric ton. It touched the highest level since July 25 at 814 yuan earlier in the session. The benchmark October iron ore on the Singapore Exchange was 1.64% higher at $107.15 a ton, as of 0800 GMT. The contract hit its highest level since February 25 at $107.65 earlier. Miner Rio Tinto could be forced to build a refinery for the Simandou ore project in Guinea, Aust",6/11/2025 18:02
www.mining.com,https://www.mining.com/web/chinas-steel-mills-squeezed-as-demand-shows-signs-of-softening/,,,105.1,,,"uinea and the upcoming restocking season in China boosted market sentiment. Singapore iron ore futures followed suit, reaching highs last seen in February. Singapore iron ore futures declined 1.6% to $105.10 a ton as of 12:45 p.m. local time, while yuan-priced futures on the Dalian exchange also weakened. Rebar contracts in Shanghai were down for the fourth day, heading toward the lowest since Jul",6/11/2025 18:02
www.mining.com,https://www.mining.com/web/iron-ore-heads-for-first-consecutive-monthly-advance-this-year/,,,104,,,"headed for a second monthly gain as output cuts at a steel hub near Beijing and a report that authorities will move to limit production next year buoyed prices. Futures in Singapore were steady near $104 a ton, and are up almost 5% in August. Yuan-priced contracts in Dalian were on track for a third straight monthly gain. Futures spiked almost 2% on Thursday on a Reuters report that China had dra",6/11/2025 18:02
www.mining.com,https://www.mining.com/web/goldman-lifts-iron-ore-forecast-for-next-year-but-stays-bearish/,,2026,93,,,"or 2026 on macroeconomic support, tighter inventories and resilient Chinese steel production, but is still expecting prices to drop next year. The bank sees prices of the steelmaking staple averaging $93 a ton in 2026, $5 higher than its previous estimate, analysts including Aurelia Waltham said in a note. However, that’s still well below where iron ore futures are trading at the moment. “The iron",6/11/2025 18:02
www.mining.com,https://www.mining.com/web/goldman-lifts-iron-ore-forecast-for-next-year-but-stays-bearish/,,2026,106.45,,,"Chinese hot-metal production, which kept port stockpiles flat in the past two quarters and yuan appreciation have supported prices, they said. Iron ore futures rose for a third day, climbing 0.7% to $106.45 a ton in Singapore as of 10:41 a.m. local time. They’ve rebounded around 15% from a low in mid-June as China moved to reduce industrial overcapacity. China has been struggling to shake off a y",6/11/2025 18:02
www.mining.com,https://www.mining.com/web/goldman-lifts-iron-ore-forecast-for-next-year-but-stays-bearish/,,,88,,,"to shake off a years-long property slump, which has hit domestic demand, although steel exports have been strong. Goldman said the outlook remains negative, and it expects iron ore prices to fall to $88 a ton by the final quarter of 2026, although that’s up from a previous forecast of $80. Iron ore price faces mounting pressure as $100 support looks rocky “The China steel sector has already retur",6/11/2025 18:02
www.mining.com,https://www.mining.com/web/column-soft-china-steel-output-shrugged-off-by-robust-iron-ore/,,,105.5,,,"rts of 112.2 million tons, which, if achieved, would be the highest since December last year. At the same time iron ore prices are rallying, with benchmark futures on the Singapore Exchange ending at $105.50 a ton on Monday, just below the six-month high of $106.75 hit on September 9. The front-month contract is up 13% from its low this year of $93.35 a ton reached on July 1. Iron ore prices are r",6/11/2025 18:02
www.mining.com,https://www.mining.com/web/column-soft-china-steel-output-shrugged-off-by-robust-iron-ore/,,,93.35,,,"enchmark futures on the Singapore Exchange ending at $105.50 a ton on Monday, just below the six-month high of $106.75 hit on September 9. The front-month contract is up 13% from its low this year of $93.35 a ton reached on July 1. Iron ore prices are responding to strong Chinese demand, but the real question is why are mills buying more of the key raw material in the face of lower steel output an",6/11/2025 18:02
