source_name,source_url,forecast_date,outlook_date,price_usd,price_range_min,price_range_max,context,scraped_date
www.procurementresource.com,https://www.procurementresource.com/news-and-articles/china-imported-1-12-billion-tonnes-of-iron-ore,,December 2020,75.0,,,"in Smirk remarked in a note that current levels were still five years high, implying that it will take a long time before it involves a constricted market. According to him, iron ore prices may reach USD 75 per tonne by the end of 2022 since China's strict steel output curbs to reduce emissions are expected to continue. Beijing has long been critical of Rio Tinto, BHP, and Vale, who control the gl",2025-11-08 11:24:37
www.procurementresource.com,https://www.procurementresource.com/news-and-articles/chinas-deteriorating-industrial-prospects-are-yet-to-reflect-on-the-copper-and-iron-ore-prices,,October 2021,146.5,,,"cent of worldwide seaborne quantities. On April 29, the spot price of benchmark 62 percent iron ore for delivery to north China, as determined by commodities price reporting agency Argus, finished at USD 146.50 a tonne, admittedly before the weekend release of the PMI data. It has decreased 8.5 percent since reaching a high of USD 160.30 per tonne on March 8 in the aftermath of Russia's invasion o",2025-11-08 11:24:40
www.procurementresource.com,https://www.procurementresource.com/news-and-articles/chinas-deteriorating-industrial-prospects-are-yet-to-reflect-on-the-copper-and-iron-ore-prices,,October 2021,160.3,,,"as determined by commodities price reporting agency Argus, finished at USD 146.50 a tonne, admittedly before the weekend release of the PMI data. It has decreased 8.5 percent since reaching a high of USD 160.30 per tonne on March 8 in the aftermath of Russia's invasion of Ukraine, which had been the fourth-largest shipper of iron ore before the war. However, iron ore remains much above USD 105.95",2025-11-08 11:24:40
www.procurementresource.com,https://www.procurementresource.com/news-and-articles/chinas-deteriorating-industrial-prospects-are-yet-to-reflect-on-the-copper-and-iron-ore-prices,,October 2021,105.95,,,"a high of USD 160.30 per tonne on March 8 in the aftermath of Russia's invasion of Ukraine, which had been the fourth-largest shipper of iron ore before the war. However, iron ore remains much above USD 105.95 per tonne, which was the price in October 2021, when China's PMI last fell below 50. It's also higher than the USD 83.15 per tonne seen in February 2020, when China's PMI plummeted as the f",2025-11-08 11:24:40
www.procurementresource.com,https://www.procurementresource.com/news-and-articles/chinas-deteriorating-industrial-prospects-are-yet-to-reflect-on-the-copper-and-iron-ore-prices,,February 2020,83.15,,,"gest shipper of iron ore before the war. However, iron ore remains much above USD 105.95 per tonne, which was the price in October 2021, when China's PMI last fell below 50. It's also higher than the USD 83.15 per tonne seen in February 2020, when China's PMI plummeted as the first wave of the coronavirus outbreak devastated the country's economy. The iron ore price was USD 84.70 a tonne when Chin",2025-11-08 11:24:40
www.procurementresource.com,https://www.procurementresource.com/news-and-articles/chinas-deteriorating-industrial-prospects-are-yet-to-reflect-on-the-copper-and-iron-ore-prices,,February 2019,84.7,,,"It's also higher than the USD 83.15 per tonne seen in February 2020, when China's PMI plummeted as the first wave of the coronavirus outbreak devastated the country's economy. The iron ore price was USD 84.70 a tonne when China's PMI was below 50 in February 2019, and USD 48.65 when the PMI was at 49 points in February 2016. Aside from the relative health of China's industrial sector, other facto",2025-11-08 11:24:40
www.procurementresource.com,https://www.procurementresource.com/news-and-articles/chinas-deteriorating-industrial-prospects-are-yet-to-reflect-on-the-copper-and-iron-ore-prices,,February 2019,48.65,,,"when China's PMI plummeted as the first wave of the coronavirus outbreak devastated the country's economy. The iron ore price was USD 84.70 a tonne when China's PMI was below 50 in February 2019, and USD 48.65 when the PMI was at 49 points in February 2016. Aside from the relative health of China's industrial sector, other factors determine iron ore prices, although some of them, such as infrastru",2025-11-08 11:24:40
www.procurementresource.com,https://www.procurementresource.com/news-and-articles/chinas-impetus-to-lower-the-mortgage-interest-rate,,2019,135.9,,,"ore prices and multiple reasons point to a further advance. On May 20, spot 62 percent iron ore for delivery to north China, as measured by commodity price reporting agency Argus, rose 5.7 percent to USD 135.90 a tonne, the biggest closing since May 6. Domestic iron ore prospects on the Dalian Commodity Exchange were also increased on May 20, increasing 3.4 percent to 827 yuan (USD 123.62) per ton",2025-11-08 11:24:41
www.procurementresource.com,https://www.procurementresource.com/news-and-articles/chinas-impetus-to-lower-the-mortgage-interest-rate,,2019,123.62,,,"ose 5.7 percent to USD 135.90 a tonne, the biggest closing since May 6. Domestic iron ore prospects on the Dalian Commodity Exchange were also increased on May 20, increasing 3.4 percent to 827 yuan (USD 123.62) per tonne. In the monthly fix on May 20, China cut the five-year loan prime rate by 15 basis points to 4.45 percent, the largest drop since the exchange rate mechanism was restructured in",2025-11-08 11:24:41
www.procurementresource.com,https://www.procurementresource.com/news-and-articles/elevated-iron-ore-prices-led-to-rio-tinto-record-profit,,2021,21.38,,,"development sector. On the good side, it ended a long-running dispute over a sizeable copper-gold mining project in Mongolia. On Wednesday, the Anglo-Australian miner reported underlying earnings of USD 21.38 billion for the year ended December 31, increasing 72 percent from the previous year. According to Visible Alpha, analysts predicted underlying revenues of USD 21.63 billion. Rio Tinto's chi",2025-11-08 11:24:51
