source_name,source_url,forecast_date,outlook_date,price_usd,price_range_min,price_range_max,context,scraped_date
www.steelorbis.com,https://www.steelorbis.com/steel-market/iron-ore.htm,,,100.0,,,"Daily iron ore prices CFR China - November 7, 2025 07 Nov Major steel and raw material futures prices in China – November 7, 2025 06 Nov Iron ore prices in China down this week, but still well above $100/mt CFR 06 Nov Major steel and raw material futures prices in China – November 6, 2025 05 Nov Brazilian high-grade iron ore price declines week-on-week 05 Nov Daily iron ore prices CFR China - Nov",2025-11-08 12:27:12
www.steelorbis.com,https://www.steelorbis.com/steel-news/latest-news/?page=3,,Q3 2025,93.0,,,"Jan-Sept 2025, announces $45 million ferrochrome investment in the US 30 Oct Free S. Korea’s POSCO posts higher net profit for Q3 2025 30 Oct Free Goldman Sachs raises 2026 iron ore price forecast to $93/mt but keeps bearish market outlook 30 Oct Free EUROMETAL: Distribution activity stabilized, confidence in a sustained recovery remains weak 30 Oct Free Turkey-based Çemtaş reports net profit and",2025-11-08 12:27:50
www.steelorbis.com,https://www.steelorbis.com/steel-news/latest-news/?page=3#collapseExample,,Q3 2025,93.0,,,"Jan-Sept 2025, announces $45 million ferrochrome investment in the US 30 Oct Free S. Korea’s POSCO posts higher net profit for Q3 2025 30 Oct Free Goldman Sachs raises 2026 iron ore price forecast to $93/mt but keeps bearish market outlook 30 Oct Free EUROMETAL: Distribution activity stabilized, confidence in a sustained recovery remains weak 30 Oct Free Turkey-based Çemtaş reports net profit and",2025-11-08 12:27:52
www.steelorbis.com,https://www.steelorbis.com/steel-news/latest-news/?page=5,,2050,,25.0,30.0,"rtescue’s iron ore production and shipments up in Q1 FY 2025-26 24 Oct Free China’s Stellar Steel to invest $450 million in new steel plant in Nigeria 24 Oct Free OECD: S. Africa’s steel sector needs $25-30 billion to cut emissions by 85% by 2050 24 Oct Free JSW Steel to establish scrap processing facility in Chennai 24 Oct Free EU adopts 19th sanctions package targeting Russia’s energy, finance a",2025-11-08 12:27:56
www.steelorbis.com,https://www.steelorbis.com/steel-news/latest-news/?page=5#collapseExample,,2050,,25.0,30.0,"rtescue’s iron ore production and shipments up in Q1 FY 2025-26 24 Oct Free China’s Stellar Steel to invest $450 million in new steel plant in Nigeria 24 Oct Free OECD: S. Africa’s steel sector needs $25-30 billion to cut emissions by 85% by 2050 24 Oct Free JSW Steel to establish scrap processing facility in Chennai 24 Oct Free EU adopts 19th sanctions package targeting Russia’s energy, finance a",2025-11-08 12:27:58
www.steelorbis.com,https://www.steelorbis.com/steel-news/latest-news/algeria-sets-2026-launch-for-gara-djebilet-iron-ore-processing-plant-1415237.htm,,,100.0,,,"ise by 0.7 percent in January-October 2025 07 Nov | Steel News Brazilian pig iron exports increase sharply in October 07 Nov | Steel News Iron ore prices in China down this week, but still well above $100/mt CFR 06 Nov | Scrap & Raw Materials ArcelorMittal posts 72 percent rise in net profit for Jan-Sept 2025 06 Nov | Steel News Major steel and raw material futures prices in China – November 6, 20",2025-11-08 12:28:23
www.steelorbis.com,https://www.steelorbis.com/steel-news/latest-news/australias-cokal-begins-in-house-coal-production-at-bbm-mine-in-indonesia-1416562.htm,,,195.0,,,"ore confident owing to China’s buying 31 Oct | Scrap & Raw Materials Coke producers propose third round of local prices increase in China 31 Oct | Scrap & Raw Materials Ex-Australia coking coal nears $195/mt FOB, possibly close to peak for now 27 Oct | Scrap & Raw Materials Ex-Australia coking coal prices rise amid higher bids and deals, after recent increase in China 24 Oct | Scrap & Raw Material",2025-11-08 12:30:07
www.steelorbis.com,https://www.steelorbis.com/steel-news/latest-news/australias-whitehaven-coal-posts-lower-coal-output-and-higher-sales-in-q1-fy-2025-26-1416923.htm,,,,37.0,41.0,g-term. Whitehaven’s metallurgical coal portfolio is expected to benefit from these supply constrained market dynamics. The company’s coal production guidance for the financial year 2025-26 is at the range of 37.0-41.0 million mt and its coal sales guidance at the range of 29.5-33.0 million mt. Tags: Australia Oceania Production Similar articles Fortescue’s iron ore production and shipments up in,2025-11-08 12:30:10
www.steelorbis.com,https://www.steelorbis.com/steel-news/latest-news/australias-whitehaven-coal-posts-lower-coal-output-and-higher-sales-in-q1-fy-2025-26-1416923.htm,,,,29.5,33.0,benefit from these supply constrained market dynamics. The company’s coal production guidance for the financial year 2025-26 is at the range of 37.0-41.0 million mt and its coal sales guidance at the range of 29.5-33.0 million mt. Tags: Australia Oceania Production Similar articles Fortescue’s iron ore production and shipments up in Q1 FY 2025-26 24 Oct | Steel News BHP Billiton’s iron ore output,2025-11-08 12:30:10
www.steelorbis.com,https://www.steelorbis.com/steel-news/latest-news/average-newhousepricesin-100-chinese-cities-up-268-in-september-2025-1413612.htm,,,100.0,,,"6.6 percent in Jan-Oct 2025 07 Nov | Steel News China's iron ore imports rise by 0.7 percent in January-October 2025 07 Nov | Steel News Iron ore prices in China down this week, but still well above $100/mt CFR 06 Nov | Scrap & Raw Materials Southeast Asian interest in Chinese billet starts to revive after price softening 06 Nov | Longs and Billet Ex-China wire rod prices move down, lower non-VAT",2025-11-08 12:30:17
