source_name,source_url,forecast_date,outlook_date,price_usd,price_range_min,price_range_max,context,scraped_date
id.tradingeconomics.com,https://id.tradingeconomics.com/commodity/iron-ore,,,102.0,,,"tuan Frekuensi 103.34 105.08 219.77 38.54 2010 - 2025 USD / MT Harian Berita Harga Bijih Besi Naik karena Permintaan Baja yang Kuat Harga bijih besi untuk kargo dengan kandungan besi 62% naik di atas $102 per ton, didorong oleh peningkatan permintaan dari produsen baja Tiongkok, meskipun ada kekhawatiran mengenai tarif AS yang akan datang. Produksi logam panas, indikator utama konsumsi bijih besi,",2025-11-08 10:27:06
id.tradingeconomics.com,https://id.tradingeconomics.com/commodity/iron-ore,,,102.0,,,"erminkan kenaikan yang lebih luas dalam bahan pembuatan baja. 2025-04-01 Harga Bijih Besi Naik karena Permintaan Baja yang Kuat Harga bijih besi untuk muatan dengan kandungan 62% besi menguat di atas $102 per ton pada akhir Maret, mencapai level tertinggi dalam satu minggu di tengah permintaan baja musiman yang kuat dari konsumen terbesar, China. Data industri menunjukkan produksi logam panas di C",2025-11-08 10:27:06
id.tradingeconomics.com,https://id.tradingeconomics.com/commodity/iron-ore,,,102.0,,,"jakan yang lebih kuat untuk meredam dampak ekonomi. 2025-03-28 Bijih Besi Sentuh Level Terendah 1-Minggu karena Prospek China Lemah Harga bijih besi untuk kargo dengan kandungan besi 62% turun menuju $102 per ton, menandai level terendah dalam satu minggu, karena kekhawatiran terhadap industri baja China dan sektor properti yang lemah membebani sentimen. Kontrak berjangka baja rebar turun ke level",2025-11-08 10:27:06
it.tradingeconomics.com,https://it.tradingeconomics.com/commodity/iron-ore,,,102.0,,,"di acciaio. 2025-04-01 Prezzi del minerale di ferro in aumento grazie alla forte domanda di acciaio I prezzi del minerale di ferro per carichi con contenuto di ferro al 62% si sono rafforzati sopra i $102 per tonnellata alla fine di marzo, raggiungendo un massimo di una settimana in mezzo a una robusta domanda stagionale di acciaio da parte del principale consumatore Cina. I dati dell'industria ha",2025-11-08 10:27:20
pt.tradingeconomics.com,https://pt.tradingeconomics.com/commodity/iron-ore,,,102.0,,,"os nos materiais de fabricação de aço. 2025-04-01 Preços do minério de ferro sobem com forte demanda de aço Os preços do minério de ferro para cargas com teor de ferro de 62% fortaleceram-se acima de US$102 por tonelada no final de março, atingindo uma alta de uma semana em meio à robusta demanda sazonal de aço do principal consumidor, a China. Dados da indústria mostraram que a produção de metal",2025-11-08 10:28:19
tradingeconomics.com,https://tradingeconomics.com/commodities,,,48.4,,,07 SSE Commodity Index Index Points 8349.57 0.83 0.01% -1.63% -4.73% 6.00% -1.88% Nov/07 Containerized Freight Index Points 1550.70 0.00 0.00% 0.00% 39.14% -36.97% -33.49% Nov/07 Nuclear Energy Index USD 48.40 1.57 3.35% -12.40% -5.38% 80.80% 57.40% Nov/07 Solar Energy Index USD 50.69 0.44 0.88% 3.24% 9.84% 50.46% 40.42% Nov/07 EU Carbon Permits EUR 79.47 0.70 -0.87% 1.18% 0.58% 8.86% 16.83% Nov/0,2025-11-08 10:30:31
tradingeconomics.com,https://tradingeconomics.com/commodities,,,50.69,,,1.88% Nov/07 Containerized Freight Index Points 1550.70 0.00 0.00% 0.00% 39.14% -36.97% -33.49% Nov/07 Nuclear Energy Index USD 48.40 1.57 3.35% -12.40% -5.38% 80.80% 57.40% Nov/07 Solar Energy Index USD 50.69 0.44 0.88% 3.24% 9.84% 50.46% 40.42% Nov/07 EU Carbon Permits EUR 79.47 0.70 -0.87% 1.18% 0.58% 8.86% 16.83% Nov/07 Wind Energy Index USD 20.42 0.05 0.25% 0.94% 1.49% 37.97% 28.11% Nov/07 El,2025-11-08 10:30:31
tradingeconomics.com,https://tradingeconomics.com/commodities,,,20.42,,,-12.40% -5.38% 80.80% 57.40% Nov/07 Solar Energy Index USD 50.69 0.44 0.88% 3.24% 9.84% 50.46% 40.42% Nov/07 EU Carbon Permits EUR 79.47 0.70 -0.87% 1.18% 0.58% 8.86% 16.83% Nov/07 Wind Energy Index USD 20.42 0.05 0.25% 0.94% 1.49% 37.97% 28.11% Nov/07 Electricity Price Day % Weekly Monthly YTD YoY Date United Kingdom GBP/MWh 82.20 1.12 -1.34% 2.15% -4.08% -19.77% -5.03% Nov/06 Germany EUR/MWh 10,2025-11-08 10:30:31
tradingeconomics.com,https://tradingeconomics.com/commodity/brent-crude-oil,,,65.81,,,"2%, and is down 13.74% compared to the same time last year, according to trading on a contract for difference (CFD) that tracks the benchmark market for this commodity. Brent crude oil is expected to trade at 65.81 USD/BBL by the end of this quarter, according to Trading Economics global macro models and analysts expectations. Looking forward, we estimate it to trade at 71.21 in 12 months time. Pr",2025-11-08 10:30:47
tradingeconomics.com,https://tradingeconomics.com/commodity/brent-crude-oil,,,71.21,,,"ity. Brent crude oil is expected to trade at 65.81 USD/BBL by the end of this quarter, according to Trading Economics global macro models and analysts expectations. Looking forward, we estimate it to trade at 71.21 in 12 months time. Price Day Month Year Date Crude Oil 59.75 0.320 0.54% -4.48% -15.10% Nov/07 Brent 63.63 0.250 0.39% -3.95% -13.86% Nov/07 Natural gas 4.32 -0.0420 -0.96% 29.46% 61.67",2025-11-08 10:30:47
tradingeconomics.com,https://tradingeconomics.com/commodity/carbon,,,79.71,,,"his page includes a chart with historical data for EU Carbon Permits. EU Carbon Permits - data, forecasts, historical chart - was last updated on  November 8 of 2025. EU Carbon Permits is expected to trade at 79.71 EUR by the end of this quarter, according to Trading Economics global macro models and analysts expectations. Looking forward, we estimate it to trade at 85.82 in 12 months time. Price",2025-11-08 10:30:53
tradingeconomics.com,https://tradingeconomics.com/commodity/carbon,,,85.82,,,"2025. EU Carbon Permits is expected to trade at 79.71 EUR by the end of this quarter, according to Trading Economics global macro models and analysts expectations. Looking forward, we estimate it to trade at 85.82 in 12 months time. Price Day Month Year Date Baltic Dry 2,104.00 41.00 1.99% 7.18% 40.74% Nov/07 CRB Index 375.00 -1.72 -0.46% 0.25% 9.68% Nov/06 GSCI 553.61 1.43 0.26% -0.46% 2.82% Nov",2025-11-08 10:30:53
tradingeconomics.com,https://tradingeconomics.com/commodity/coal,,,110.0,,,"s Pricing Apps App Store Google Play Twitter About Customers Investors Careers About us Contact Coal Price - Chart - Historical Data - News Summary Stats Forecast Alerts Coal prices climbed to around $110 per tonne, reaching over two-month highs amid a firm demand outlook, even as weakening imports from major Asian buyers kept sentiment cautious. Data showed that the world’s top four coal importer",2025-11-08 10:30:57
tradingeconomics.com,https://tradingeconomics.com/commodity/coal,,,110.0,,,"t since September 2025. Over the past 4 weeks, Coal gained 3.17%, and in the last 12 months, it decreased 24.4%. 2025-10-31 Coal Prices Rise Despite Slower Asian Imports Coal prices climbed to around $110 per tonne, reaching over two-month highs amid a firm demand outlook, even as weakening imports from major Asian buyers kept sentiment cautious. Data showed that the world’s top four coal importer",2025-11-08 10:30:57
tradingeconomics.com,https://tradingeconomics.com/commodity/coal,,2030,104.0,,,"an economies and in Europe, driven by volatile power supply and rising electricity demand from data centers. 2025-10-31 Coal Holds at Narrow Range Thermal coal futures out of Australian ports were at $104 per tonne at the end of October, trading in a narrow range since the start of the month as the outlook of robust demand balanced against a backdrop of ample supply. The Chinese government signale",2025-11-08 10:30:57
tradingeconomics.com,https://tradingeconomics.com/commodity/coal,,,110.28,,,"s price has risen 5.58%, but it is still 22.19% lower than a year ago, according to trading on a contract for difference (CFD) that tracks the benchmark market for this commodity. Coal is expected to trade at 110.28 USD/MT by the end of this quarter, according to Trading Economics global macro models and analysts expectations. Looking forward, we estimate it to trade at 115.59 in 12 months time. P",2025-11-08 10:30:57
tradingeconomics.com,https://tradingeconomics.com/commodity/coal,,,115.59,,,"this commodity. Coal is expected to trade at 110.28 USD/MT by the end of this quarter, according to Trading Economics global macro models and analysts expectations. Looking forward, we estimate it to trade at 115.59 in 12 months time. Price Day Month Year Date Crude Oil 59.75 0.320 0.54% -4.48% -15.10% Nov/07 Brent 63.63 0.250 0.39% -3.95% -13.86% Nov/07 Natural gas 4.32 -0.0420 -0.96% 29.46% 61.6",2025-11-08 10:30:57
tradingeconomics.com,https://tradingeconomics.com/commodity/coking-coal,,,202.16,,,"n March of 2022. This page includes a chart with historical data for Coking Coal. Coking Coal - data, forecasts, historical chart - was last updated on  November 8 of 2025. Coking Coal is expected to trade at 202.16 USD/T by the end of this quarter, according to Trading Economics global macro models and analysts expectations. Looking forward, we estimate it to trade at 213.28 in 12 months time. Pr",2025-11-08 10:31:04
tradingeconomics.com,https://tradingeconomics.com/commodity/coking-coal,,,213.28,,,"of 2025. Coking Coal is expected to trade at 202.16 USD/T by the end of this quarter, according to Trading Economics global macro models and analysts expectations. Looking forward, we estimate it to trade at 213.28 in 12 months time. Price Day Month Year Date UK Gas 81.05 -1.0400 -1.27% -3.10% -24.50% Nov/07 Ethanol 1.69 -0.0075 -0.44% -5.20% 7.14% Nov/07 Naphtha 539.85 0.03 0.01% -1.00% -15.41%",2025-11-08 10:31:04
tradingeconomics.com,https://tradingeconomics.com/commodity/cotton,,,64.73,,,"allen 2.14%, and is down 10.47% compared to the same time last year, according to trading on a contract for difference (CFD) that tracks the benchmark market for this commodity. Cotton is expected to trade at 64.73 USd/Lbs by the end of this quarter, according to Trading Economics global macro models and analysts expectations. Looking forward, we estimate it to trade at 60.86 in 12 months time. Pr",2025-11-08 10:31:12
tradingeconomics.com,https://tradingeconomics.com/commodity/cotton,,,60.86,,,"is commodity. Cotton is expected to trade at 64.73 USd/Lbs by the end of this quarter, according to Trading Economics global macro models and analysts expectations. Looking forward, we estimate it to trade at 60.86 in 12 months time. Price Day Month Year Date Soybeans 1,101.75 10.00 0.92% 7.02% 8.36% Nov/07 Wheat 527.25 -8.25 -1.54% 3.94% -7.90% Nov/07 Lumber 530.50 -7.50 -1.39% -11.80% -4.96% Nov",2025-11-08 10:31:12
tradingeconomics.com,https://tradingeconomics.com/commodity/crude-oil,,,62.04,,,"en 4.33%, and is down 14.98% compared to the same time last year, according to trading on a contract for difference (CFD) that tracks the benchmark market for this commodity. Crude Oil is expected to trade at 62.04 USD/BBL by the end of this quarter, according to Trading Economics global macro models and analysts expectations. Looking forward, we estimate it to trade at 67.57 in 12 months time. Pr",2025-11-08 10:31:19
tradingeconomics.com,https://tradingeconomics.com/commodity/crude-oil,,,67.57,,,"commodity. Crude Oil is expected to trade at 62.04 USD/BBL by the end of this quarter, according to Trading Economics global macro models and analysts expectations. Looking forward, we estimate it to trade at 67.57 in 12 months time. Price Day Month Year Date Crude Oil 59.75 0.320 0.54% -4.48% -15.10% Nov/07 Brent 63.63 0.250 0.39% -3.95% -13.86% Nov/07 Natural gas 4.32 -0.0420 -0.96% 29.46% 61.67",2025-11-08 10:31:19
tradingeconomics.com,https://tradingeconomics.com/commodity/eu-natural-gas,,,32.12,,,"and is down 25.80% compared to the same time last year, according to trading on a contract for difference (CFD) that tracks the benchmark market for this commodity. EU Natural Gas TTF is expected to trade at 32.12 EUR/MWh by the end of this quarter, according to Trading Economics global macro models and analysts expectations. Looking forward, we estimate it to trade at 36.58 in 12 months time. Pr",2025-11-08 10:31:27
